id,temp_error,x,y,z
241,-0.31501100586428,-27.522495,0,0
242,-0.31671809481333,-27.416025,0,0
243,-0.31842345188443,-27.309555,0,0
244,-0.32012698726311,-27.203085,0,0
245,-0.32182854081867,-27.096615,0,0
246,-0.32352689270203,-26.990145,0,0
247,-0.32522134369356,-26.883675,0,0
248,-0.32691221939365,-26.777205,0,0
249,-0.32860009827135,-26.670735,0,0
250,-0.33028614378389,-26.564265,0,0
251,-0.33197086499905,-26.457795,0,0
252,-0.33365347659975,-26.351325,0,0
253,-0.33533311893433,-26.244855,0,0
254,-0.33700883189152,-26.138385,0,0
255,-0.33868036428134,-26.031915,0,0
256,-0.3403486964192,-25.925445,0,0
257,-0.34201462970623,-25.818975,0,0
258,-0.34367750550177,-25.712505,0,0
259,-0.34533637097439,-25.606035,0,0
260,-0.34699123653672,-25.499565,0,0
261,-0.34864171069324,-25.393095,0,0
262,-0.35028802576284,-25.286625,0,0
263,-0.35193113211193,-25.180155,0,0
264,-0.35357100885363,-25.073685,0,0
265,-0.3552077734596,-24.967215,0,0
266,-0.35684193194709,-24.860745,0,0
267,-0.35847360575286,-24.754275,0,0
268,-0.36010244005155,-24.647805,0,0
269,-0.36172770952203,-24.541335,0,0
270,-0.36334842179315,-24.434865,0,0
271,-0.36496414650526,-24.328395,0,0
272,-0.36657530215206,-24.221925,0,0
273,-0.36818274307274,-24.115455,0,0
274,-0.36978741726915,-24.008985,0,0
275,-0.37138892669282,-23.902515,0,0
276,-0.37298701792031,-23.796045,0,0
277,-0.37458215418422,-23.689575,0,0
278,-0.37617371202219,-23.583105,0,0
279,-0.37776132452314,-23.476635,0,0
280,-0.37934449384807,-23.370165,0,0
281,-0.38092195831257,-23.263695,0,0
282,-0.38249410069091,-23.157225,0,0
283,-0.38406209797074,-23.050755,0,0
284,-0.38562556620383,-22.944285,0,0
285,-0.38718448481853,-22.837815,0,0
286,-0.38874009766772,-22.731345,0,0
287,-0.39029232898179,-22.624875,0,0
288,-0.39183951766796,-22.518405,0,0
289,-0.39338120165672,-22.411935,0,0
290,-0.39491796408595,-22.305465,0,0
291,-0.39644912244029,-22.198995,0,0
292,-0.39797432014439,-22.092525,0,0
293,-0.39949465144406,-21.986055,0,0
294,-0.40101094974818,-21.879585,0,0
295,-0.40252310011863,-21.773115,0,0
296,-0.40403109705534,-21.666645,0,0
297,-0.405535756017,-21.560175,0,0
298,-0.40703715843904,-21.453705,0,0
299,-0.40853469578929,-21.347235,0,0
300,-0.41002827926042,-21.240765,0,0
301,-0.41151800117416,-21.134295,0,0
302,-0.41300413921164,-21.027825,0,0
303,-0.41448673538684,-20.921355,0,0
304,-0.4159649374464,-20.814885,0,0
305,-0.41743809196242,-20.708415,0,0
306,-0.41890655763609,-20.601945,0,0
307,-0.42036953765853,-20.495475,0,0
308,-0.4218245701914,-20.389005,0,0
309,-0.42327085758507,-20.282535,0,0
310,-0.4247093700796,-20.176065,0,0
311,-0.42614131472965,-20.069595,0,0
312,-0.42756842285132,-19.963125,0,0
313,-0.42899115285854,-19.856655,0,0
314,-0.43040852316477,-19.750185,0,0
315,-0.43181986625177,-19.643715,0,0
316,-0.43322531396916,-19.537245,0,0
317,-0.4346260082304,-19.430775,0,0
318,-0.43602259845454,-19.324305,0,0
319,-0.43741500442411,-19.217835,0,0
320,-0.43880375533655,-19.111365,0,0
321,-0.44018815308124,-19.004895,0,0
322,-0.44156618351934,-18.898425,0,0
323,-0.44293731052881,-18.791955,0,0
324,-0.44430208583043,-18.685485,0,0
325,-0.44566062811066,-18.579015,0,0
326,-0.4470125080328,-18.472545,0,0
327,-0.44835821377791,-18.366075,0,0
